,sat_critical_reading_avg_score,sat_math_avg_score,sat_writing_avg_score,Total_1600,num_of_sat_test_takers,dbn,District,School_Num,school_name,Zip,Nhood,Med Income,Latitude,Longitude
222,372.0,382.0,375.0,754.0,57,11X541,11,X541,GLOBAL ENTERPRISE HIGH SCHOOL,-,-,-,-,-
223,431.0,438.0,419.0,869.0,76,11X542,11,X542,PELHAM PREPARATORY ACADEMY,10469,Bronxdale,57183,40.859665,-73.861006
224,383.0,378.0,365.0,761.0,55,11X544,11,X544,HIGH SCHOOL FOR CONTEMPORARY ARTS,10467,Williamsbridge-Olinville,35375,40.875953,-73.86197
225,388.0,393.0,382.0,781.0,46,11X545,11,X545,BRONX AEROSPACE HIGH SCHOOL,10467,Williamsbridge-Olinville,35375,40.875953,-73.86197
226,348.0,344.0,354.0,692.0,25,12X245,12,X245,NEW DAY ACADEMY,-,-,-,-,-
227,347.0,367.0,341.0,714.0,49,12X248,12,X248,"METROPOLITAN HIGH SCHOOL, THE",10459,Longwood,22843,40.827315,-73.897612
228,381.0,381.0,360.0,762.0,57,12X251,12,X251,EXPLORATIONS ACADEMY,10460,Crotona Park East,23644,40.8359,-73.890458
229,361.0,353.0,360.0,714.0,30,12X262,12,X262,PERFORMANCE CONSERVATORY HIGH SCHOOL,-,-,-,-,-
230,408.0,432.0,411.0,840.0,36,12X267,12,X267,BRONX LATIN,10456,Longwood,21955,40.827743,-73.900105
231,366.0,378.0,358.0,744.0,46,12X271,12,X271,EAST BRONX ACADEMY FOR THE FUTURE,10460,Crotona Park East,23644,40.836356,-73.888361
232,390.0,401.0,364.0,791.0,34,12X278,12,X278,PEACE AND DIVERSITY ACADEMY,-,-,-,-,-
233,321.0,351.0,298.0,672.0,30,12X388,12,X388,PAN AMERICAN INTERNATIONAL HIGH SCHOOL AT MONROE,10472,West Farms-Bronx River,32631,40.831601,-73.878912
234,,,,,s,12X428,12,X428,LEARNING TO WORK YABC AT MONROE ACADEMY,-,-,-,-,-
235,380.0,372.0,349.0,752.0,14,12X446,12,X446,ARTURO A. SCHOMBURG SATELLITE ACADEMY BRONX,10459,Longwood,22843,40.823532,-73.898872
236,,,,,s,12X478,12,X478,THE CINEMA SCHOOL,10472,West Farms-Bronx River,32631,40.831416,-73.877785
237,,,,,s,12X479,12,X479,BRONX CAREER AND COLLEGE PREPARATORY HIGH SCHOOL,10456,Longwood,21955,40.827743,-73.900105
238,398.0,385.0,398.0,783.0,16,12X480,12,X480,BRONX REGIONAL HIGH SCHOOL,10459,Longwood,22843,40.823532,-73.898872
239,304.0,323.0,312.0,627.0,42,12X550,12,X550,HIGH SCHOOL OF WORLD CULTURES,10472,West Farms-Bronx River,32631,40.831601,-73.878912
240,342.0,346.0,341.0,688.0,72,12X682,12,X682,FANNIE LOU HAMER FREEDOM HIGH SCHOOL,10460,Crotona Park East,23644,40.83087,-73.88626
241,378.0,374.0,362.0,752.0,66,12X684,12,X684,WINGS ACADEMY,10460,East Tremont,23644,40.841794,-73.875366
242,375.0,387.0,376.0,762.0,31,12X690,12,X690,MONROE ACADEMY FOR BUSINESS/LAW,-,-,-,-,-
243,332.0,357.0,349.0,689.0,43,12X692,12,X692,MONROE ACADEMY FOR VISUAL ARTS & DESIGN,-,-,-,-,-
244,352.0,349.0,373.0,701.0,29,13K265,13,K265,DR. SUSAN S. MCKINNEY SECONDARY SCHOOL OF THE ARTS,11205,Fort Greene,42903,40.696324,-73.97578
245,439.0,374.0,418.0,813.0,9,13K336,13,K336,ACADEMY OF BUSINESS AND COMMUNITY DEVELOPMENT,-,-,-,-,-
246,360.0,364.0,356.0,724.0,52,13K350,13,K350,URBAN ASSEMBLY HIGH SCHOOL OF MUSIC AND ART,11201,DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill,92174,40.697339,-73.985016
247,375.0,355.0,384.0,730.0,37,13K412,13,K412,"BROOKLYN COMMUNITY HIGH SCHOOL OF COMMUNICATION, ARTS AND MEDIA",11205,Clinton Hill,42903,40.692642,-73.958794
248,399.0,417.0,395.0,816.0,92,13K419,13,K419,"SCIENCE SKILLS CENTER HIGH SCHOOL FOR SCIENCE, TECHNOLOGY AND THE CREATIVE ARTS",11201,DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill,92174,40.697339,-73.985016
249,587.0,659.0,587.0,1246.0,1277,13K430,13,K430,BROOKLYN TECHNICAL HIGH SCHOOL,11217,Fort Greene,72610,40.688834,-73.976905
250,305.0,364.0,312.0,669.0,90,13K439,13,K439,BROOKLYN INTERNATIONAL HIGH SCHOOL,11201,DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill,92174,40.697339,-73.985016
251,400.0,417.0,389.0,817.0,105,13K483,13,K483,THE URBAN ASSEMBLY SCHOOL FOR LAW AND JUSTICE,11201,DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill,92174,40.694682,-73.988853
252,384.0,364.0,368.0,748.0,72,13K499,13,K499,ACORN COMMUNITY HIGH SCHOOL,11238,Crown Heights North,61468,40.678488,-73.962105
253,400.0,390.0,403.0,790.0,29,13K509,13,K509,FREEDOM ACADEMY HIGH SCHOOL,-,-,-,-,-
254,,,,,s,13K527,13,K527,URBAN ASSEMBLY INSTITUTE OF MATH AND SCIENCE FOR YOUNG WOMEN,11201,DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill,92174,40.694682,-73.988853
255,435.0,383.0,379.0,818.0,8,13K553,13,K553,BROOKLYN ACADEMY HIGH SCHOOL,11216,Bedford,37290,40.685004,-73.947152
256,398.0,391.0,394.0,789.0,13,13K575,13,K575,BEDFORD STUYVESANT PREPARATORY HIGH SCHOOL,11216,Bedford,37290,40.685004,-73.947152
257,438.0,443.0,431.0,881.0,89,13K595,13,K595,BEDFORD ACADEMY HIGH SCHOOL,11216,Bedford,37290,40.68538,-73.954302
258,406.0,391.0,392.0,797.0,85,13K605,13,K605,GEORGE WESTINGHOUSE CAREER AND TECHNICAL EDUCATION HIGH SCHOOL,11201,DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill,92174,40.694926,-73.986015
259,,,,,s,13K616,13,K616,BROOKLYN HIGH SCHOOL FOR LEADERSHIP AND COMMUNITY SERVICE,11205,Clinton Hill,42903,40.692642,-73.958794
260,471.0,472.0,448.0,943.0,185,13K670,13,K670,BENJAMIN BANNEKER ACADEMY,11205,Clinton Hill,42903,40.695332,-73.969243
261,441.0,499.0,413.0,940.0,20,13K674,13,K674,"CITY POLYTECHNIC HIGH SCHOOL OF ENGINEERING, ARCHITECTURE, AND TECHNOLOGY",11201,DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill,92174,40.694926,-73.986015
262,365.0,361.0,359.0,726.0,102,14K071,14,K071,JUAN MOREL CAMPOS SECONDARY SCHOOL,11206,Williamsburg,26439,40.703624,-73.953146
263,,,,,s,14K322,14,K322,FOUNDATIONS ACADEMY,-,-,-,-,-
264,387.0,357.0,381.0,744.0,68,14K404,14,K404,ACADEMY FOR YOUNG WRITERS,-,-,-,-,-
265,586.0,584.0,570.0,1170.0,72,14K449,14,K449,"BROOKLYN LATIN SCHOOL, THE",11206,East Williamsburg,26439,40.709941,-73.943641
266,407.0,386.0,396.0,793.0,41,14K454,14,K454,GREEN SCHOOL: AN ACADEMY FOR ENVIRONMENTAL CAREERS,11206,East Williamsburg,26439,40.709941,-73.943641
267,364.0,379.0,371.0,743.0,144,14K474,14,K474,PROGRESS HIGH SCHOOL FOR PROFESSIONAL CAREERS,11211,Bushwick South,37632,40.712184,-73.939722
268,413.0,396.0,395.0,809.0,134,14K477,14,K477,SCHOOL FOR LEGAL STUDIES,11211,Bushwick South,37632,40.712184,-73.939722
269,398.0,421.0,396.0,819.0,142,14K478,14,K478,"THE HIGH SCHOOL FOR ENTERPRISE, BUSINESS AND TECHNOLOGY",11211,Bushwick South,37632,40.712184,-73.939722
270,367.0,373.0,350.0,740.0,42,14K488,14,K488,BROOKLYN PREPARATORY HIGH SCHOOL,11211,North Side-South Side,37632,40.715073,-73.954754
271,363.0,385.0,364.0,748.0,72,14K558,14,K558,WILLIAMSBURG HIGH SCHOOL FOR ARCHITECTURE AND DESIGN,11211,North Side-South Side,37632,40.715073,-73.954754
272,397.0,410.0,380.0,807.0,113,14K561,14,K561,WILLIAMSBURG PREPARATORY SCHOOL,11211,North Side-South Side,37632,40.715073,-73.954754
273,371.0,377.0,355.0,748.0,31,14K586,14,K586,LYONS COMMUNITY SCHOOL,11206,East Williamsburg,26439,40.709941,-73.943641
274,367.0,376.0,350.0,743.0,94,14K610,14,K610,AUTOMOTIVE HIGH SCHOOL,11222,North Side-South Side,54366,40.721981,-73.953281
275,382.0,372.0,368.0,754.0,12,14K632,14,K632,FRANCES PERKINS ACADEMY,-,-,-,-,-
276,359.0,335.0,341.0,694.0,28,14K685,14,K685,EL PUENTE ACADEMY FOR PEACE AND JUSTICE,11211,Williamsburg,37632,40.705898,-73.955611
277,,,,,s,14K923,14,K923,AUTOMOTIVE HIGH SCHOOL YABC,-,-,-,-,-
278,361.0,367.0,383.0,728.0,52,15K429,15,K429,BROOKLYN SCHOOL FOR GLOBAL STUDIES,11201,DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill,92174,40.685419,-73.993351
279,393.0,399.0,387.0,792.0,76,15K448,15,K448,BROOKLYN SECONDARY SCHOOL FOR COLLABORATIVE STUDIES,11231,Carroll Gardens-Columbia Street-Red Hook,73074,40.68007,-74.001377
280,398.0,411.0,394.0,809.0,59,15K462,15,K462,SECONDARY SCHOOL FOR LAW,11215,Park Slope-Gowanus,81331,40.669629,-73.979287
281,397.0,391.0,381.0,788.0,58,15K463,15,K463,SECONDARY SCHOOL FOR JOURNALISM,11215,Park Slope-Gowanus,81331,40.669629,-73.979287
282,379.0,416.0,380.0,795.0,72,15K464,15,K464,PARK SLOPE COLLEGIATE,11215,Park Slope-Gowanus,81331,40.669629,-73.979287
283,405.0,415.0,392.0,820.0,64,15K497,15,K497,SCHOOL FOR INTERNATIONAL STUDIES,11201,DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill,92174,40.685419,-73.993351
284,398.0,402.0,385.0,800.0,77,15K519,15,K519,COBBLE HILL SCHOOL OF AMERICAN STUDIES,11201,DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill,92174,40.684524,-73.990993
285,352.0,341.0,300.0,693.0,9,15K520,15,K520,PACIFIC HIGH SCHOOL,-,-,-,-,-
286,,,,,s,15K529,15,K529,WEST BROOKLYN COMMUNITY HIGH SCHOOL,11219,Sunset Park East,34969,40.642834,-73.992948
287,368.0,365.0,368.0,733.0,28,15K530,15,K530,METROPOLITAN CORPORATE ACADEMY HIGH SCHOOL,-,-,-,-,-
288,426.0,421.0,411.0,847.0,141,15K656,15,K656,BROOKLYN HIGH SCHOOL OF THE ARTS,11217,DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill,72610,40.683559,-73.98027
289,,,,,s,15K667,15,K667,SUNSET PARK HIGH SCHOOL,11232,Sunset Park West,34807,40.65571,-74.005197
290,430.0,416.0,425.0,846.0,8,15K698,15,K698,SOUTH BROOKLYN COMMUNITY HIGH SCHOOL,11231,Carroll Gardens-Columbia Street-Red Hook,73074,40.677969,-74.014363
291,355.0,355.0,358.0,710.0,20,16K393,16,K393,FREDERICK DOUGLASS ACADEMY IV SECONDARY SCHOOL,-,-,-,-,-
292,365.0,370.0,362.0,735.0,131,16K455,16,K455,BOYS AND GIRLS HIGH SCHOOL,11213,Crown Heights North,35084,40.67944,-73.932407
293,362.0,372.0,358.0,734.0,46,16K498,16,K498,BROOKLYN HIGH SCHOOL FOR LAW AND TECHNOLOGY,11221,Stuyvesant Heights,34005,40.688831,-73.920906
